timestamp,open,high,low,close,volume,daily_return,volatility_14d
2022-12-14,17775.82,18387.95,17660.94,17803.15,266681.22209,,
2022-12-15,17804.01,17854.82,17275.51,17356.34,223701.96882,-0.025097244027040277,
2022-12-16,17356.96,17531.73,16527.32,16632.12,253379.04116,-0.041726539120575,
2022-12-17,16631.5,16796.82,16579.85,16776.52,144825.66684,0.008681996041394635,
2022-12-18,16777.54,16863.26,16663.07,16738.21,112619.31646,-0.0022835486739801736,
2022-12-19,16739.0,16815.99,16256.3,16438.88,179094.28305,-0.017883035282745152,
2022-12-20,16438.88,17061.27,16397.2,16895.56,248808.92324,0.027780481395326184,
2022-12-21,16896.15,16925.0,16723.0,16824.67,156810.96362,-0.004195776878659463,
2022-12-22,16824.68,16868.52,16559.85,16821.43,176044.27235,-0.0001925743565845961,
2022-12-23,16821.9,16955.14,16731.13,16778.5,161612.00947,-0.0025521016940890373,
2022-12-24,16778.52,16869.99,16776.62,16836.12,100224.29096,0.003434156807819555,
2022-12-25,16835.73,16857.96,16721.0,16832.11,125441.07202,-0.00023817839264617113,
2022-12-26,16832.11,16944.52,16791.0,16919.39,124564.00656,0.005185327329728651,
2022-12-27,16919.39,16972.83,16592.37,16706.36,173749.58616,-0.012590879458420079,
2022-12-28,16706.06,16785.19,16465.33,16547.31,193037.56577,-0.00952032639066791,0.01639207121192751
2022-12-29,16547.32,16664.41,16488.91,16633.47,160998.47158,0.00520688861210683,0.015524107751955899
2022-12-30,16633.47,16677.35,16333.0,16607.48,164916.31174,-0.0015625122118235746,0.010790752097844365
2022-12-31,16607.48,16644.09,16470.0,16542.4,114490.42864,-0.003918716144773238,0.010528525632470946
2023-01-01,16541.77,16628.0,16499.01,16616.75,96925.41374,0.004494511074571994,0.010618056701467277
2023-01-02,16617.17,16799.23,16548.7,16672.87,121888.57191,0.003377315058600505,0.009384438842358308
2023-01-03,16672.78,16778.4,16605.28,16675.18,159541.53733,0.0001385484322735664,0.005382630819364706
2023-01-04,16675.65,16991.87,16652.66,16850.36,220362.18862,0.01050543382440261,0.006083594888433809
2023-01-05,16850.36,16879.82,16753.0,16831.85,163473.56641,-0.0010984928511914571,0.00609205848013807
2023-01-06,16831.85,17041.0,16679.0,16950.65,207401.28415,0.007058047689350921,0.006312352436233139
2023-01-07,16950.31,16981.91,16908.0,16943.57,104526.5688,-0.00041768309769840695,0.0062700659225848904
2023-01-08,16943.83,17176.99,16911.0,17127.83,135155.89695,0.010874921873017529,0.0068497920439981675
2023-01-09,17127.83,17398.8,17104.66,17178.26,266211.52723,0.0029443309514396443,0.006776969465324781
2023-01-10,17179.04,17499.0,17146.34,17440.66,221382.42581,0.015275120995956515,0.006532286013043045
2023-01-11,17440.64,18000.0,17315.6,17943.26,262221.60653,0.02881771676071887,0.008557926935402662
2023-01-12,17943.26,19117.04,17892.05,18846.62,454568.32178,0.05034536644957499,0.014642677901993665
2023-01-13,18846.62,20000.0,18714.12,19930.01,368615.87823,0.05748457813655716,0.019156074901081732
2023-01-14,19930.01,21258.0,19888.05,20954.92,393913.74951,0.0514254634092004,0.020960076353407374
2023-01-15,20952.76,21050.74,20551.01,20871.5,178542.22549,-0.003980926674976515,0.021472358761797237
2023-01-16,20872.99,21474.05,20611.48,21185.65,293078.08262,0.0150516254222266,0.02114246237337602
2023-01-17,21185.65,21647.45,20841.31,21134.81,275407.74409,-0.0023997375582056613,0.021312615980582466
2023-01-18,21132.29,21650.0,20407.15,20677.47,350916.01949,-0.02163918199406567,0.023696484839779344
2023-01-19,20677.47,21192.0,20659.19,21071.59,251385.84925,0.019060358931726196,0.023252539175153155
2023-01-20,21071.59,22755.93,20861.28,22667.21,338079.13659,0.07572375886205074,0.02790251808450841
2023-01-21,22666.0,23371.8,22422.0,22783.55,346445.48432,0.0051325240292035,0.027607685537665967
2023-01-22,22783.35,23078.71,22292.37,22707.88,253577.75286,-0.003321255906125198,0.028289060713658228
2023-01-23,22706.02,23180.0,22500.0,22916.45,293588.37938,0.009184917306239049,0.0280356466000935
2023-01-24,22917.81,23162.2,22462.93,22632.89,293158.78254,-0.012373644259909389,0.029421240597206157
2023-01-25,22631.94,23816.73,22300.0,23060.94,346042.83223,0.01891274158978362,0.02929043993354461
2023-01-26,23060.42,23282.47,22850.01,23009.65,288924.43581,-0.002224107083232396,0.028240857862986656
2023-01-27,23009.65,23500.0,22534.88,23074.16,280833.86315,0.0028036063130034705,0.025521307731769867
2023-01-28,23074.16,23189.0,22878.46,23022.6,148115.71085,-0.0022345342148967218,0.02284122383256839
2023-01-29,23021.4,23960.54,22967.76,23742.3,295688.79204,0.03126058742279336,0.023473705345825793
2023-01-30,23743.37,23800.51,22500.0,22826.15,302405.90121,-0.03858724723383988,0.026658479478138146
2023-01-31,22827.38,23320.0,22714.77,23125.13,264649.34909,0.01309813525276926,0.02661961277482345
2023-02-01,23125.13,23812.66,22760.23,23732.66,310790.42271,0.026271419879585478,0.025751773571792053
2023-02-02,23731.41,24255.0,23363.27,23488.94,364177.20751,-0.010269392474337113,0.026164650452764664
2023-02-03,23489.33,23715.7,23204.62,23431.9,332571.02904,-0.002428376929737852,0.0175433763188043
2023-02-04,23431.9,23587.78,23253.96,23326.84,166126.47295,-0.004483631288969336,0.017621132811413417
2023-02-05,23327.66,23433.33,22743.0,22932.91,209251.33917,-0.016887413811729313,0.018286598008834663
2023-02-06,22932.91,23158.25,22628.13,22762.52,265371.6069,-0.007429933663019583,0.018243868501757875
2023-02-07,22762.52,23350.25,22745.78,23240.46,308006.72482,0.020996796488262248,0.018722497306140253
