date,avg_sentiment
2021-04-13,-0.1686
2021-04-14,0.0
2021-04-15,0.0386
2021-04-17,0.0
2021-04-18,-0.0186
2021-04-19,0.0
2021-04-21,-0.7906
2021-04-23,0.0
2021-04-25,0.2294
2021-04-26,0.1374
2021-04-27,0.0
2021-04-28,0.0
2021-04-29,0.0
2021-04-30,-0.148
2021-05-01,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-07,0.296
2021-05-08,0.0
2021-05-09,0.4939
2021-05-12,-0.4767
2021-05-14,-0.1251
2021-05-17,0.3455
2021-05-18,0.1366
2021-05-20,0.0
2021-05-22,-0.4019
2021-05-24,0.3612
2021-05-25,0.5267
2021-05-26,0.0
2021-05-28,0.0
2021-05-30,-0.296
2021-05-31,0.0
2021-06-01,0.4019
2021-06-02,0.3612
2021-06-03,-0.6249
2021-06-05,0.2006
2021-06-06,0.38075000000000003
2021-06-08,-0.4019
2021-06-10,0.0
2021-06-11,0.0
2021-06-13,0.5859
2021-06-14,0.5994
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-20,0.28595
2021-06-22,0.52495
2021-06-27,0.45424999999999993
2021-07-03,0.2737
2021-07-12,-0.128
2021-07-13,0.0
2021-07-24,0.0
2021-07-28,0.1531
2021-08-07,-0.0516
2021-08-09,0.3818
2021-08-12,0.4215
2021-08-14,0.0
2021-08-18,-0.5994
2021-08-29,0.7269
2021-08-30,0.0
2021-09-03,0.2263
2021-09-04,0.0
2021-09-06,0.743
2021-09-07,0.07220000000000001
2021-09-08,0.128
2021-09-20,0.4939
2021-09-22,0.0
2021-09-24,-0.9501
2021-09-25,-0.7482
2021-09-29,0.7096
2021-10-05,-0.34
2021-10-06,0.0
2021-10-11,-0.5267
2021-10-17,0.0
2021-10-19,0.3182
2021-10-20,0.0
2021-10-25,0.7351
2021-10-28,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-06,-0.0191
2021-11-08,0.3612
2021-11-11,-0.2732
2021-11-15,0.0
2021-11-19,-0.3818
2021-11-21,0.0
2021-11-29,0.0
2021-11-30,0.0
2021-12-12,0.0
2021-12-29,0.8481
2022-01-03,-0.7096
2022-01-10,0.0
2022-01-18,0.9169
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-29,0.0
2022-02-02,0.0
2022-02-10,0.1513
2022-02-16,0.0
2022-02-19,-0.1779
2022-02-24,0.0
2022-03-01,0.0
2022-03-08,0.0
2022-03-18,-0.2263
2022-03-22,0.0
2022-04-06,0.0
2022-04-26,-0.1027
2022-04-27,0.0
2022-05-07,0.0
2022-05-09,0.0
2022-05-12,0.0
2022-05-18,0.0
2022-06-03,0.0772
2022-06-07,0.7184
2022-06-13,0.0
2022-06-18,0.0
2022-06-21,0.0
2022-06-23,0.0
2022-06-26,0.0
2022-06-28,0.0258
2022-10-06,0.0
2022-12-05,0.0
2022-12-29,0.0
2023-01-04,0.0
2023-03-06,-0.7845
2023-03-24,0.0
2024-01-18,0.0
2024-03-01,0.0
2024-03-25,0.5106
2024-08-18,0.2263
2024-09-24,0.2263
2024-10-26,0.5106
2024-11-12,0.0
2024-11-13,0.0
2024-11-21,-0.1027
2024-11-23,-0.0772
2024-11-24,0.0
2024-11-25,0.0
2024-11-27,0.0
2024-11-29,0.0
2024-11-30,0.0
2024-12-05,-0.12536666666666665
2024-12-09,0.2263
2024-12-11,0.5106
2024-12-13,0.4404
2024-12-22,0.5859
2024-12-30,0.0
2025-01-06,0.4215
2025-01-17,0.0
2025-01-22,0.2263
2025-01-25,0.0
2025-01-27,0.0
2025-01-30,-0.125
2025-02-04,-0.34
2025-02-06,0.0
2025-02-07,0.0
2025-02-09,0.0
2025-03-06,0.0
2025-03-11,0.4023
2025-03-19,0.3612
2025-03-25,-0.1779
2025-04-04,-0.4939
2025-04-10,0.0
2025-05-14,0.0
2025-05-22,0.5719
2025-05-25,0.0
2025-06-28,0.5563
2025-07-06,0.0
2025-07-17,0.0
2025-07-19,0.0
2025-07-20,0.0
2025-08-02,0.3818
2025-08-05,0.0
2025-08-09,0.0
2025-08-17,0.1531
2025-08-21,0.0
2025-09-06,0.0
